)                                       = 0 <0.000124>
) = 0 <0.000162>
) = 0 <0.000121>
) = 0 <0.000108>
) = 0 <0.000107>
) = 0 <0.000171>
) = 0 <0.000206>
) = 0 <0.000107>
) = 0 <0.000107>
) = 0 <0.000140>
) = 0 <0.000150>
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 89.05   14.021042       14395       974           semget
  6.71    1.056069        1760       600           ioctl
  1.26    0.198538         135      1467           msgget
  1.01    0.159416         233       685           write
  0.76    0.120275        1485        81           getpid
  0.74    0.116112         944       123           recv
  0.33    0.052735          76       698           read
  0.02    0.003280          63        52           close
  0.02    0.003180         245        13           munmap
  0.02    0.003050         117        26           dup
  0.02    0.002731          43        64           SYS_224
  0.01    0.002272          81        28           mprotect
  0.01    0.001385          92        15           mmap2
  0.01    0.001169         106        11           writev
  0.00    0.000754          69        11           semop
  0.00    0.000594          50        12           fcntl64
  0.00    0.000507         127         4           open
  0.00    0.000498          62         8           brk
  0.00    0.000217         109         2           fstat64
  0.00    0.000216         216         1           getdents64
  0.00    0.000159          80         2           stat64
  0.00    0.000085          43         2           lseek
  0.00    0.000038          38         1           getpriority
  0.00    0.000030          30         1           gettimeofday
------ ----------- ----------- --------- --------- ----------------
100.00   15.744352                  4881           total
